VEHICLE NAME,MAKE,MODEL,YEAR,Body style,First registration date,Condition,Colour,KM,KM_UNIT,Transmission,Drivetrain,Fuel type,KW,KW_UNIT,CAPACITY,CAPACITY UNIT,Doors,Fuel consumption,CO2 emissions,Seats,Cylinders,Kerb weight,Type approval number,Warranty,PRICE,CURRENCY,URL
TOYOTA Prius 1.8 Hybrid Plug-In Premium,TOYOTA,Prius, 2020 ,saloon/hatchback,,New car(s),"white, met.",8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),90,KW,1'798,cc,5,0.0 / 0.0 / 1.2,23 g/km,4,4,1'615 kg,,Yes,45890,CHF,https://www.autolina.ch/en/auto/toyota-prius-1/2339949
SUZUKI Swift 1.2 Tradizio 4x4,SUZUKI,Swift, 2020 ,small car,,New car(s),black,8,KM,Manual,Four wheel drive,Petrol,66,KW,1'242,cc,5,5.9 / 4.4 / 4.9,112 g/km,5,4,1'047 kg,,Yes,18990,CHF,https://www.autolina.ch/en/auto/suzuki-swift/2326035
CITROEN C1 1.0 VTi Feel,CITROEN,C1, 2020 ,small car,,New car(s),white,8,KM,Manual,Front wheel drive,Petrol,53,KW,998,cc,5,4.8 / 3.6 / 4.1,93 g/km,4,3,957 kg,,Yes,12990,CHF,https://www.autolina.ch/en/auto/citroen-c1/2294359
SUZUKI SX4 S-Cross 1.4 T Tradizio Top 4x4,SUZUKI,SX4, 2020 ,saloon/hatchback,,New car(s),red,8,KM,Automatic,Four wheel drive,Petrol,103,KW,1'373,cc,5,7.5 / 5.5 / 6.2,141 g/km,5,4,1'400 kg,,Yes,31990,CHF,https://www.autolina.ch/en/auto/suzuki-sx4-s-cross/2289233
TOYOTA C-HR - 1.8 Hybrid Trend,TOYOTA,C-HR, 2020 ,SUV,,New car(s),"brown, met.",8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),90,KW,1'798,cc,5,0.0 / 0.0 / 3.8,86 g/km,5,4,1'506 kg,,Yes,33890,CHF,https://www.autolina.ch/en/auto/toyota-c-hr/2414740
TOYOTA Camry - 2.5 Hybrid Premium,TOYOTA,Camry, 2020 ,saloon/hatchback,,New car(s),"brown, met.",8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),160,KW,2'487,cc,4,0.0 / 0.0 / 4.4,101 g/km,5,4,1'702 kg,,Yes,49990,CHF,https://www.autolina.ch/en/auto/toyota-camry/2391196
SUZUKI Swift 1.2/90 Hybrid 4x4 Tradizio Top,SUZUKI,Swift, 2020 ,small car,,New car(s),white,10,KM,Manual,Four wheel drive,Hybrid (petrol/electric),66,KW,1'242,cc,5,4.8 / 4.3 / 4.4,101 g/km,5,4,1'055 kg,,Yes,23190,CHF,https://www.autolina.ch/en/auto/suzuki-swift/2389431
KIA Niro 1.6 GDi Hybrid Power 25,KIA,Niro, 2020 ,SUV,,New car(s),"red, met.",30,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),104,KW,1'580,cc,5,4.2 / 3.8 / 4.5,97 g/km,5,4,1'585 kg,,,29700,CHF,https://www.autolina.ch/en/auto/kia-niro/2390324
NISSAN X-Trail 2.0 dCi Tekna 4x4,NISSAN,X-Trail, 2020 ,SUV,,New car(s),"grey, met.",10,KM,Automatic,Four wheel drive,Diesel,130,KW,1'995,cc,5,6.7 / 5.8 / 6.1,162 g/km,5,4,1'745 kg,,Yes,42830,CHF,https://www.autolina.ch/en/auto/nissan-x-trail/2396144
DACIA Duster Ultimate SCe 115 4WD E6C,DACIA,Duster, 2020 ,SUV,,New car(s),red,,,Manual,Four wheel drive,Petrol,84,KW,1'598,cc,5,8.3 / 6.1 / 6.9,158 g/km,5,4,1'351 kg,,,20290,CHF,https://www.autolina.ch/en/auto/dacia-duster/2406510
CITROEN C5 Aircross 1.2 PureTech Feel,CITROEN,C5, 2020 ,SUV,,New car(s),"grey, met.",8,KM,Manual,Front wheel drive,Petrol,96,KW,1'199,cc,5,6.1 / 4.8 / 5.3,121 g/km,5,3,1'404 kg,,Yes,28890,CHF,https://www.autolina.ch/en/auto/citroen-c5/2453908
SEAT Leon 1.5 TSI EVO FR,SEAT,Leon, 2020 ,saloon/hatchback,,New car(s),"grey, met.",100,KM,Automatic,Front wheel drive,Petrol,110,KW,1'498,cc,5,6.4 / 4.1 / 5.0,113 g/km,5,4,1'409 kg,1SH871,Yes,31970,CHF,https://www.autolina.ch/en/auto/seat-leon/2606014
VW GOLF 1.0 TSI Swiss Line Plus DSG,VW,GOLF, 2020 ,saloon/hatchback,08.2020,Second hand/used,"black, met.",1'000,KM,Automatic,Front wheel drive,Petrol,115,KW,999,cc,5,0.0 / 0.0 / 4.9,111 g/km,5,3,1'438 kg,,Yes,27900,CHF,https://www.autolina.ch/en/auto/vw-golf/2538626
CITROEN Berlingo 650 Club 1.5 BlueHDi,CITROEN,Berlingo, 2020 ,Van,,New car(s),white,8,KM,Manual,Front wheel drive,Diesel,73,KW,1'499,cc,3,,,3,4,1'382 kg,,Yes,20722,CHF,https://www.autolina.ch/en/auto/citroen-berlingo/2287655
CUPRA Ateca 2.0TSI 4Drive,CUPRA,Ateca, 2020 ,Estate,,New car(s),"white, met.",100,KM,Automatic,Four wheel drive,Petrol,221,KW,1'984,cc,5,8.9 / 6.5 / 7.4,168 g/km,5,4,1'735 kg,1SH822,Yes,53820,CHF,https://www.autolina.ch/en/auto/cupra-/2560997
SKODA Kodiaq 2.0 TSI Smile,SKODA,Kodiaq, 2020 ,Estate,,New car(s),"white, met.",100,KM,Automatic,Four wheel drive,Petrol,140,KW,1'984,cc,5,0.0 / 0.0 / 6.9,158 g/km,5,4,1'926 kg,1SG635,Yes,41510,CHF,https://www.autolina.ch/en/auto/skoda-kodiaq/2560995
SEAT Arona 1.0TSI FR,SEAT,Arona, 2020 ,Estate,,New car(s),other,100,KM,Automatic,Front wheel drive,Petrol,85,KW,999,cc,5,5.6 / 4.6 / 5.0,112 g/km,5,3,1'319 kg,1SH854,Yes,29650,CHF,https://www.autolina.ch/en/auto/seat-arona/2602737
SUZUKI Swift 1.2 Tradizio Top Hybrid 4x4,SUZUKI,Swift, 2020 ,small car,,New car(s),"grey, met.",8,KM,Manual,Four wheel drive,Hybrid (petrol/electric),66,KW,1'242,cc,5,4.8 / 4.3 / 4.4,101 g/km,5,4,1'055 kg,,Yes,22990,CHF,https://www.autolina.ch/en/auto/suzuki-swift/2374084
SKODA Octavia 1.5 G-tec Amb.CNG,SKODA,Octavia, 2020 ,Estate,,New car(s),"grey, met.",100,KM,Automatic,Front wheel drive,Natural Gas (CNG) / Petrol,96,KW,1'498,cc,5,,96 g/km,5,4,1'509 kg,1SG662,Yes,29540,CHF,https://www.autolina.ch/en/auto/skoda-octavia/2586642
TOYOTA Corolla 2.0 HSD Trend,TOYOTA,Corolla, 2020 ,saloon/hatchback,,New car(s),"black, met.",10,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),112,KW,1'987,cc,5,0.0 / 0.0 / 3.9,89 g/km,5,4,1'500 kg,,Yes,38150,CHF,https://www.autolina.ch/en/auto/toyota-corolla/2461220
TOYOTA Corolla 2.0 Hybrid Trend,TOYOTA,Corolla, 2020 ,saloon/hatchback,,New car(s),"black, met.",8,KM,Automatic,Front wheel drive,Hybrid (petrol/electric),112,KW,1'987,cc,5,0.0 / 0.0 / 3.9,89 g/km,5,4,1'500 kg,,Yes,37790,CHF,https://www.autolina.ch/en/auto/toyota-corolla/2415332
